Name,Brand,Model,Year,KM Driven,Fuel,Transmission,Ownership,Price,Location
Datsun Redi Go,Datsun,Redi Go,2018,103464,Petrol,Manual,2,180000,"Kompally, Hyderabad"
Hyundai Creta,Hyundai,Creta,2018,36350,Petrol,Auto,1,859416,"Bachupally, Hyderabad"
Renault Lodgy,Renault,Lodgy,2015,88555,Diesel,Manual,2,328883,"Kompally, Hyderabad"
Renault Kwid,Renault,Kwid,2017,101118,Petrol,Auto,1,252000,"Bachupally, Hyderabad"
Tata NEXON,Tata,NEXON,2018,31076,Petrol,Manual,1,553000,"Upperpally, Attapur, Hyderabad"
Maruti Swift Dzire,Maruti,Swift Dzire,2014,72483,Petrol,Manual,1,331000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Tata NEXON,Tata,NEXON,2018,22909,Petrol,Auto,2,605640,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2017,20927,Petrol,Auto,1,373250,"Bachupally, Hyderabad"
KIA SELTOS,KIA,SELTOS,2020,85243,Diesel,Manual,1,824000,"Kompally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2017,103531,Petrol,Manual,1,435000,"Kompally, Hyderabad"
Toyota Etios,Toyota,Etios,2013,129839,Petrol,Manual,2,276705,"Kompally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2017,131421,Diesel,Manual,2,435000,"Kompally, Hyderabad"
Maruti Swift Dzire,Maruti,Swift Dzire,2014,34273,Petrol,Manual,1,353000,"Kompally, Hyderabad"
KIA SELTOS,KIA,SELTOS,2020,58895,Petrol,Manual,1,890000,"Bachupally, Hyderabad"
Honda Amaze,Honda,Amaze,2015,109469,Petrol,Manual,2,276000,"Kompally, Hyderabad"
Maruti S PRESSO,Maruti,S PRESSO,2020,58127,Petrol,Auto,1,357325,"Kompally, Hyderabad"
Maruti Celerio,Maruti,Celerio,2014,32992,Petrol,Auto,1,294000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti IGNIS,Maruti,IGNIS,2017,103288,Petrol,Auto,1,339000,"Bachupally, Hyderabad"
Hyundai Eon,Hyundai,Eon,2017,52466,Petrol,Manual,2,228000,"Upperpally, Attapur, Hyderabad"
Maruti Ertiga,Maruti,Ertiga,2013,93841,Diesel,Manual,1,395000,"Upperpally, Attapur, Hyderabad"
Honda Brio,Honda,Brio,2014,90652,Petrol,Manual,1,224000,"Kompally, Hyderabad"
Mahindra XUV700,Mahindra,XUV700,2023,137652,Diesel,Manual,1,1500000,"Bachupally, Hyderabad"
Hyundai GRAND I10 NIOS,Hyundai,GRAND I10 NIOS,2020,101840,Petrol,Auto,1,420000,"Kompally, Hyderabad"
